	locus_tag
322	MtrunA17_Chr1g0146931
323	MtrunA17_Chr1g0146941
324	MtrunA17_Chr1g0146951
325	MtrunA17_Chr1g0146961
326	MtrunA17_Chr1g0146971
327	MtrunA17_Chr1g0146981
328	MtrunA17_Chr1g0146991
329	MtrunA17_Chr1g0147001
330	MtrunA17_Chr1g0147011
331	MtrunA17_Chr1g0147021
332	MtrunA17_Chr1g0147031
333	MtrunA17_Chr1g0147041
334	MtrunA17_Chr1g0147051
335	MtrunA17_Chr1g0147061
336	MtrunA17_Chr1g0147071
337	MtrunA17_Chr1g0147081
338	MtrunA17_Chr1g0147091
339	MtrunA17_Chr1g0147101
340	MtrunA17_Chr1g0147111
341	MtrunA17_Chr1g0147121
342	MtrunA17_Chr1g0147141
343	MtrunA17_Chr1g0147151
344	MtrunA17_Chr1g0147161
345	MtrunA17_Chr1g0147171
346	MtrunA17_Chr1g0147181
347	MtrunA17_Chr1g0147191
348	MtrunA17_Chr1g0147201
349	MtrunA17_Chr1g0147211
350	MtrunA17_Chr1g0147221
351	MtrunA17_Chr1g0147231
352	MtrunA17_Chr1g0147241
353	MtrunA17_Chr1g0147251
354	MtrunA17_Chr1g0147261
355	MtrunA17_Chr1g0147271
356	MtrunA17_Chr1g0147281
357	MtrunA17_Chr1g0147291
358	MtrunA17_Chr1g0147301
359	MtrunA17_Chr1g0147311
360	MtrunA17_Chr1g0147321
361	MtrunA17_Chr1g0147331
362	MtrunA17_Chr1g0147341
363	MtrunA17_Chr1g0147351
364	MtrunA17_Chr1g0147361
365	MtrunA17_Chr1g0147371
366	MtrunA17_Chr1g0147381
367	MtrunA17_Chr1g0147391
368	MtrunA17_Chr1g0147401
369	MtrunA17_Chr1g0147411
370	MtrunA17_Chr1g0147421
371	MtrunA17_Chr1g0147441
372	MtrunA17_Chr1g0147451
373	MtrunA17_Chr1g0147471
374	MtrunA17_Chr1g0147481
375	MtrunA17_Chr1g0147491
376	MtrunA17_Chr1g0147501
377	MtrunA17_Chr1g0147511
378	MtrunA17_Chr1g0147531
379	MtrunA17_Chr1g0147551
380	MtrunA17_Chr1g0147561
381	MtrunA17_Chr1g0147571
382	MtrunA17_Chr1g0147581
383	MtrunA17_Chr1g0147591
384	MtrunA17_Chr1g0147601
385	MtrunA17_Chr1g0147611
386	MtrunA17_Chr1g0147621
387	MtrunA17_Chr1g0147631
388	MtrunA17_Chr1g0147641
389	MtrunA17_Chr1g0147651
